gps_tow(sec), total_sv, prn, pseudorange(m), snr(dB-Hz), el(deg), az(deg), err_tropo(m), err_iono(m), sat_clk_err(m), sat_pos_x(m), sat_pos_y(m), sat_pos_z(m)
310860,13,  1, 21034226.1910,30.00,77.02, 71.12, 2.47, 1.52,  -7895.68,-13524432.6808, 19665813.7917, 11205182.6627
310860,13,  7, 21264000.9730,30.00,64.99,224.45, 2.65, 1.61,  73034.43, -4879887.7404, 25619749.8671,  3734591.4814
310860,13,  8, 24184271.3710,27.00,25.72, 43.60, 5.52, 2.89, -26851.68,-17057186.1168,  2725077.8861, 20271166.2512
310860,13, 11, 21422650.9540,26.00,66.19, 19.20, 2.63, 1.60,-220437.17,-10711370.4275, 17265127.9555, 16615830.5692
310860,13, 22, 24064076.9060,22.00,26.44,120.19, 5.38, 2.85, -82649.73,-24218963.8717, 10334664.3736, -3300108.1723
310860,13, 28, 23895846.3720,12.00,31.70,327.84, 4.57, 2.56, 205261.23,  5141195.7179, 14185944.4922, 22487665.4542
310860,13, 30, 21729823.9610,21.00,58.40,284.50, 2.82, 1.71,  32302.35,   921996.5432, 23758467.0529, 11684294.4253
310860,13, 87, 37768509.6040,28.00,52.06,126.28, 3.05, 1.83,  92533.91,-32265308.5926, 27127359.6927,  1040072.0734
310860,13, 88, 38249753.6980,28.00,47.04,236.43, 3.28, 1.96, -57973.54,  4358261.4352, 41950839.1123,  -225580.4558
310860,13, 89, 37269780.0080,28.00,65.09,190.11, 2.65, 1.61, -54032.35,-14796871.1947, 39486103.9848,   988446.2384
310860,13, 93, 36818718.1420,27.00,74.44,103.26, 2.50, 1.54, -88310.36,-24377104.8529, 31433008.7511, 13473427.3404
310860,13, 94, 36933819.2720,22.00,77.09,299.69, 2.47, 1.52,  44299.19, -8739917.7478, 36536425.2255, 19452739.6358
310860,13, 96, 36854694.9060,20.00,73.49,343.42, 2.51, 1.54,   5079.97,-11302899.1658, 32270360.9874, 24557882.9655
310861,10,  1, 21034383.1730,30.00,77.01, 71.09, 2.46, 1.52,  -7895.68,-13524270.7076, 19664350.2890, 11207941.1122
310861,10,  7, 21264260.8420,30.00,64.98,224.44, 2.65, 1.61,  73034.43, -4880321.7399, 25620095.9607,  3731436.8340
310861,10,  8, 24184732.8770,25.00,25.72, 43.60, 5.51, 2.89, -26851.68,-17058936.7210,  2723214.6388, 20269953.0365
310861,10, 11, 21422954.5700,25.00,66.18, 19.21, 2.62, 1.60,-220437.17,-10711967.7265, 17262959.3698, 16617624.9840
310861,10, 22, 24063858.4300,20.00,26.45,120.18, 5.37, 2.85, -82649.74,-24219511.0332, 10334428.8174, -3297052.8581
310861,10, 30, 21729762.8500,20.00,58.40,284.49, 2.82, 1.71,  32302.35,   921247.8112, 23759789.3311, 11681649.2425
310861,10, 89, 37269850.9430,26.00,65.09,190.11, 2.65, 1.61, -54032.33,-14796870.2320, 39486105.6690,   988488.1728
310861,10, 93, 36818770.2130,25.00,74.44,103.28, 2.49, 1.54, -88310.36,-24376827.4748, 31434173.5633, 13471170.2520
310861,10, 94, 36933952.7660,21.00,77.09,299.71, 2.46, 1.52,  44299.20, -8738763.6192, 36535536.2894, 19454926.5457
310861,10, 96, 36854671.8720,17.00,73.49,343.42, 2.50, 1.54,   5079.97,-11303096.5066, 32271555.3925, 24556197.5896
310862, 9,  1, 21034530.5400,30.00,77.01, 71.05, 2.47, 1.52,  -7895.68,-13524108.7260, 19662886.4391, 11210699.3187
310862, 9,  7, 21264519.8730,30.00,64.98,224.42, 2.65, 1.61,  73034.43, -4880755.6090, 25620441.6954,  3728282.1044
310862, 9,  8, 24185195.0460,24.00,25.71, 43.61, 5.51, 2.89, -26851.68,-17060687.3273,  2721351.6046, 20268739.3945
310862, 9, 11, 21423263.4740,23.00,66.17, 19.21, 2.63, 1.60,-220437.17,-10712565.1626, 17260790.5825, 16619419.0325
310862, 9, 22, 24063640.5640,19.00,26.45,120.17, 5.37, 2.85, -82649.74,-24220057.8414, 10334193.1754, -3293997.4734
310862, 9, 30, 21729699.1390,20.00,58.41,284.47, 2.82, 1.71,  32302.35,   920499.2578, 23761111.3352, 11679003.8098
310862, 9, 93, 36818828.4790,23.00,74.44,103.29, 2.49, 1.54, -88310.37,-24376549.9252, 31435338.3331, 13468913.0912
310862, 9, 94, 36934086.1030,19.00,77.08,299.72, 2.46, 1.52,  44299.21, -8737609.6211, 36534647.1866, 19457113.3536
310862, 9, 96, 36854649.0300,14.00,73.49,343.42, 2.51, 1.54,   5079.96,-11303293.6723, 32272749.8254, 24554512.0829
310863,10,  1, 21034681.4320,30.00,77.00, 71.01, 2.46, 1.52,  -7895.68,-13523946.7358, 19661422.2425, 11213457.2814
310863,10,  7, 21264781.4340,32.00,64.97,224.40, 2.64, 1.61,  73034.43, -4881189.3468, 25620787.0711,  3725127.2943
310863,10,  8, 24185655.1740,26.00,25.71, 43.61, 5.49, 2.89, -26851.68,-17062437.9365,  2719488.7821, 20267525.3245
310863,10, 11, 21423568.7300,23.00,66.16, 19.22, 2.62, 1.60,-220437.17,-10713162.7355, 17258621.5943, 16621212.7141
310863,10, 22, 24063423.1510,21.00,26.45,120.17, 5.35, 2.85, -82649.74,-24220604.2961, 10333957.4477, -3290942.0185
310863,10, 30, 21729635.4460,20.00,58.41,284.46, 2.81, 1.71,  32302.35,   919750.8817, 23762433.0657, 11676358.1261
310863,10, 89, 37269985.4840,27.00,65.09,190.11, 2.64, 1.61, -54032.28,-14796868.3061, 39486109.0375,   988572.0259
310863,10, 93, 36818878.0380,22.00,74.44,103.31, 2.48, 1.54, -88310.37,-24376272.2043, 31436503.0604, 13466655.8579
310863,10, 94, 36934223.2270,18.00,77.08,299.73, 2.46, 1.52,  44299.21, -8736455.7527, 36533757.9178, 19459300.0586
310863,10, 96, 36854626.5890,13.00,73.50,343.41, 2.50, 1.54,   5079.95,-11303490.6636, 32273944.2863, 24552826.4450
310864, 9,  1, 21034834.5050,35.00,77.00, 70.98, 2.47, 1.52,  -7895.68,-13523784.7370, 19659957.6993, 11216215.0001
310864, 9,  7, 21265040.8490,33.00,64.96,224.39, 2.65, 1.61,  73034.42, -4881622.9537, 25621132.0879,  3721972.4029
310864, 9,  8, 24186114.7250,26.00,25.71, 43.62, 5.52, 2.89, -26851.68,-17064188.5482,  2717626.1719, 20266310.8268
310864, 9, 11, 21423873.8820,25.00,66.15, 19.22, 2.63, 1.60,-220437.17,-10713760.4459, 17256452.4040, 16623006.0297
310864, 9, 22, 24063206.0880,20.00,26.46,120.16, 5.37, 2.85, -82649.75,-24221150.3973, 10333721.6343, -3287886.4934
310864, 9, 30, 21729574.6490,22.00,58.41,284.44, 2.82, 1.71,  32302.35,   919002.6835, 23763754.5222, 11673712.1920
310864, 9, 93, 36818931.4700,23.00,74.44,103.32, 2.50, 1.54, -88310.37,-24375994.3124, 31437667.7450, 13464398.5516
310864, 9, 94, 36934357.6280,20.00,77.08,299.75, 2.47, 1.52,  44299.22, -8735302.0145, 36532868.4826, 19461486.6611
310864, 9, 96, 36854601.7220,16.00,73.50,343.41, 2.51, 1.54,   5079.94,-11303687.4810, 32275138.7751, 24551140.6755
310865, 9,  1, 21034983.3550,35.00,76.99, 70.94, 2.46, 1.52,  -7895.68,-13523622.7296, 19658492.8095, 11218972.4749
310865, 9,  7, 21265302.6540,36.00,64.96,224.37, 2.65, 1.61,  73034.42, -4882056.4305, 25621476.7456,  3718817.4297
310865, 9,  8, 24186571.8160,28.00,25.70, 43.63, 5.51, 2.89, -26851.68,-17065939.1617,  2715763.7749, 20265095.9017
310865, 9, 11, 21424175.7710,27.00,66.15, 19.22, 2.63, 1.60,-220437.18,-10714358.2936, 17254283.0122, 16624798.9789
310865, 9, 22, 24062990.5950,21.00,26.46,120.15, 5.37, 2.85, -82649.75,-24221696.1452, 10333485.7350, -3284830.8981
310865, 9, 30, 21729515.7200,20.00,58.41,284.43, 2.82, 1.71,  32302.34,   918254.6632, 23765075.7048, 11671066.0077
310865, 9, 93, 36818983.2280,26.00,74.44,103.34, 2.49, 1.54, -88310.38,-24375716.2486, 31438832.3873, 13462141.1734
310865, 9, 94, 36934492.7450,22.00,77.07,299.76, 2.46, 1.52,  44299.23, -8734148.4066, 36531978.8811, 19463673.1612
310865, 9, 96, 36854576.0180,19.00,73.50,343.40, 2.50, 1.54,   5079.93,-11303884.1232, 32276333.2918, 24549454.7752
310866,10,  1, 21035136.3940,36.00,76.99, 70.91, 2.46, 1.52,  -7895.68,-13523460.7137, 19657027.5731, 11221729.7057
310866,10,  7, 21265564.7570,38.00,64.95,224.36, 2.65, 1.62,  73034.42, -4882489.7761, 25621821.0442,  3715662.3762
310866,10,  8, 24187033.4270,31.00,25.70, 43.63, 5.51, 2.89, -26851.68,-17067689.7781,  2713901.5897, 20263880.5488
310866,10, 11, 21424478.9690,29.00,66.14, 19.23, 2.62, 1.60,-220437.18,-10714956.2784, 17252113.4191, 16626591.5615
310866,10, 22, 24062773.8640,20.00,26.46,120.14, 5.36, 2.85, -82649.75,-24222241.5396, 10333249.7497, -3281775.2328
310866,10, 30, 21729455.9700,25.00,58.42,284.41, 2.82, 1.71,  32302.34,   917506.8208, 23766396.6134, 11668419.5730
310866,10, 89, 37270194.3280,33.00,65.09,190.11, 2.65, 1.61, -54032.22,-14796865.4160, 39486114.0908,   988697.7662
310866,10, 93, 36819031.6700,31.00,74.44,103.35, 2.49, 1.54, -88310.38,-24375438.0135, 31439996.9869, 13459883.7227
310866,10, 94, 36934632.0500,30.00,77.07,299.77, 2.46, 1.52,  44299.24, -8732994.9288, 36531089.1133, 19465859.5588
310866,10, 96, 36854556.3520,22.00,73.50,343.40, 2.50, 1.54,   5079.93,-11304080.5910, 32277527.8363, 24547768.7438
310867,10,  1, 21035288.9960,37.00,76.99, 70.87, 2.47, 1.52,  -7895.69,-13523298.6894, 19655561.9902, 11224486.6925
310867,10,  7, 21265822.0250,36.00,64.95,224.34, 2.65, 1.62,  73034.42, -4882922.9910, 25622164.9838,  3712507.2416
310867,10,  8, 24187491.9830,24.00,25.69, 43.64, 5.52, 2.89, -26851.68,-17069440.3962,  2712039.6177, 20262664.7686
310867,10, 11, 21424787.2270,29.00,66.13, 19.23, 2.63, 1.60,-220437.18,-10715554.4000, 17249943.6253, 16628383.7771
310867,10, 22, 24062557.8300,20.00,26.47,120.13, 5.37, 2.85, -82649.76,-24222786.5806, 10333013.6786, -3278719.4974
310867,10, 30, 21729395.5750,26.00,58.42,284.40, 2.82, 1.71,  32302.34,   916759.1561, 23767717.2478, 11665772.8882
310867,10, 89, 37270264.8090,32.00,65.09,190.11, 2.65, 1.61, -54032.19,-14796864.4524, 39486115.7754,   988739.6692
310867,10, 93, 36819086.3240,31.00,74.44,103.37, 2.49, 1.54, -88310.39,-24375159.6070, 31441161.5440, 13457626.1996
310867,10, 94, 36934766.8710,28.00,77.07,299.79, 2.47, 1.52,  44299.24, -8731841.5813, 36530199.1793, 19468045.8539
310867,10, 96, 36854532.0610,24.00,73.51,343.39, 2.51, 1.54,   5079.92,-11304276.8850, 32278722.4087, 24546082.5808
310868,12,  1, 21035439.0160,35.00,76.98, 70.84, 2.47, 1.52,  -7895.69,-13523136.6567, 19654096.0608, 11227243.4351
310868,12,  7, 21266082.2950,36.00,64.94,224.33, 2.66, 1.62,  73034.41, -4883356.0759, 25622508.5643,  3709352.0254
310868,12,  8, 24187956.6300,22.00,25.69, 43.64, 5.53, 2.89, -26851.68,-17071191.0170,  2710177.8574, 20261448.5605
310868,12, 11, 21425092.9550,29.00,66.12, 19.24, 2.63, 1.60,-220437.18,-10716152.6594, 17247773.6296, 16630175.6265
310868,12, 22, 24062342.7040,21.00,26.47,120.13, 5.37, 2.85, -82649.76,-24223331.2682, 10332777.5215, -3275663.6921
310868,12, 28, 23893190.6580,11.00,31.74,327.88, 4.56, 2.56, 205261.25,  5119959.7938, 14189728.5093, 22490225.9104
310868,12, 30, 21729335.6690,24.00,58.42,284.38, 2.82, 1.71,  32302.34,   916011.6693, 23769037.6082, 11663125.9532
310868,12, 88, 38250267.7110,32.00,47.04,236.43, 3.28, 1.96, -57973.60,  4358286.0012, 41950844.8729,  -224908.2411
310868,12, 89, 37270330.2830,32.00,65.09,190.11, 2.65, 1.61, -54032.17,-14796863.4886, 39486117.4600,   988781.5668
310868,12, 93, 36819139.4600,30.00,74.44,103.38, 2.50, 1.54, -88310.39,-24374881.0295, 31442326.0584, 13455368.6035
310868,12, 94, 36934901.4990,26.00,77.06,299.80, 2.47, 1.52,  44299.25, -8730688.3641, 36529309.0789, 19470232.0465
310868,12, 96, 36854507.4910,22.00,73.51,343.39, 2.51, 1.54,   5079.91,-11304473.0038, 32279917.0089, 24544396.2871
310869,13,  1, 21035589.5930,38.00,76.98, 70.80, 2.47, 1.52,  -7895.69,-13522974.6157, 19652629.7848, 11229999.9335
310869,13,  7, 21266346.1600,37.00,64.93,224.31, 2.65, 1.62,  73034.41, -4883789.0296, 25622851.7856,  3706196.7290
310869,13,  8, 24188414.3320,22.00,25.68, 43.65, 5.52, 2.89, -26851.68,-17072941.6395,  2708316.3105, 20260231.9252
310869,13, 11, 21425398.1590,31.00,66.11, 19.24, 2.63, 1.60,-220437.18,-10716751.0560, 17245603.4326, 16631967.1092
310869,13, 17, 24678811.8680,18.00,21.24,269.64, 6.58, 3.18, -38026.75, 14475233.0513, 21751699.6493,  5542782.9606
310869,13, 22, 24062124.6980,21.00,26.48,120.12, 5.36, 2.85, -82649.77,-24223875.6024, 10332541.2784, -3272607.8169
310869,13, 28, 23892857.4810,13.00,31.75,327.88, 4.55, 2.56, 205261.25,  5117305.2742, 14190202.3118, 22490543.9363
310869,13, 30, 21729277.3330,23.00,58.42,284.37, 2.82, 1.71,  32302.34,   915264.3609, 23770357.6941, 11660478.7688
310869,13, 88, 38250338.8210,33.00,47.04,236.43, 3.28, 1.96, -57973.61,  4358289.0726, 41950845.5918,  -224824.2089
310869,13, 89, 37270402.9450,32.00,65.09,190.11, 2.65, 1.61, -54032.15,-14796862.5246, 39486119.1448,   988823.4593
310869,13, 93, 36819188.2150,31.00,74.44,103.40, 2.49, 1.54, -88310.40,-24374602.2803, 31443490.5302, 13453110.9356
310869,13, 94, 36935035.1680,26.00,77.06,299.81, 2.46, 1.52,  44299.26, -8729535.2772, 36528418.8124, 19472418.1366
310869,13, 96, 36854483.4970,22.00,73.51,343.38, 2.51, 1.54,   5079.90,-11304668.9481, 32281111.6368, 24542709.8622
310870,13,  1, 21035742.1260,37.00,76.97, 70.77, 2.46, 1.52,  -7895.69,-13522812.5661, 19651163.1630, 11232756.1870
310870,13,  7, 21266609.3620,35.00,64.93,224.30, 2.65, 1.62,  73034.41, -4884221.8528, 25623194.6478,  3703041.3519
310870,13,  8, 24188866.0660,21.00,25.68, 43.66, 5.51, 2.89, -26851.68,-17074692.2645,  2706454.9754, 20259014.8621
310870,13, 11, 21425704.6020,31.00,66.11, 19.24, 2.62, 1.60,-220437.18,-10717349.5898, 17243433.0345, 16633758.2253
310870,13, 17, 24678640.5940,20.00,21.24,269.64, 6.58, 3.18, -38026.75, 14474656.0515, 21751343.0882,  5545893.1452
310870,13, 22, 24061908.6120,21.00,26.48,120.11, 5.36, 2.85, -82649.77,-24224419.5832, 10332304.9491, -3269551.8719
310870,13, 30, 21729218.8570,24.00,58.43,284.35, 2.82, 1.71,  32302.34,   914517.2296, 23771677.5060, 11657831.3337
310870,13, 88, 38250402.1830,28.00,47.04,236.43, 3.28, 1.96, -57973.62,  4358292.1441, 41950846.3105,  -224740.1755
310870,13, 89, 37270474.2990,31.00,65.09,190.11, 2.65, 1.61, -54032.13,-14796861.5605, 39486120.8296,   988865.3465
310870,13, 93, 36819240.5490,30.00,74.44,103.41, 2.49, 1.54, -88310.40,-24374323.3596, 31444654.9594, 13450853.1953
310870,13, 94, 36935176.4970,27.00,77.06,299.83, 2.46, 1.52,  44299.26, -8728382.3206, 36527528.3796, 19474604.1242
310870,13, 96, 36854459.6600,21.00,73.52,343.38, 2.50, 1.54,   5079.89,-11304864.7185, 32282306.2926, 24541023.3058
310870,13, 99, 37685599.8150,33.00,58.54,243.63, 2.81, 1.70, -53423.19,    41387.5234, 41802475.5727,  6429178.7198
310871,13,  1, 21035893.8730,34.00,76.97, 70.73, 2.46, 1.52,  -7895.69,-13522650.5086, 19649696.1941, 11235512.1969
310871,13,  7, 21266872.2140,32.00,64.92,224.28, 2.65, 1.62,  73034.41, -4884654.5461, 25623537.1509,  3699885.8932
310871,13,  8, 24189326.0540,19.00,25.68, 43.66, 5.51, 2.89, -26851.68,-17076442.8916,  2704593.8529, 20257797.3715
310871,13, 11, 21426005.8450,29.00,66.10, 19.25, 2.62, 1.60,-220437.19,-10717948.2605, 17241262.4360, 16635548.9742
310871,13, 17, 24678468.4830,22.00,21.25,269.65, 6.57, 3.18, -38026.74, 14474078.7743, 21750986.2718,  5549003.2129
310871,13, 22, 24061691.8460,20.00,26.48,120.10, 5.35, 2.85, -82649.77,-24224963.2106, 10332068.5338, -3266495.8571
310871,13, 30, 21729160.9740,25.00,58.43,284.34, 2.81, 1.71,  32302.34,   913770.2760, 23772997.0437, 11655183.6487
310871,13, 88, 38250467.7260,28.00,47.04,236.43, 3.27, 1.96, -57973.63,  4358295.2157, 41950847.0289,  -224656.1409
310871,13, 89, 37270545.7580,30.00,65.09,190.11, 2.64, 1.61, -54032.11,-14796860.5962, 39486122.5145,   988907.2284
310871,13, 93, 36819293.4580,29.00,74.44,103.43, 2.49, 1.54, -88310.41,-24374044.2681, 31445819.3458, 13448595.3821
310871,13, 94, 36935312.1900,25.00,77.06,299.84, 2.46, 1.52,  44299.27, -8727229.4943, 36526637.7806, 19476790.0093
310871,13, 96, 36854435.7710,21.00,73.52,343.37, 2.50, 1.54,   5079.88,-11305060.3138, 32283500.9760, 24539336.6187
310871,13, 99, 37685652.4280,31.00,58.54,243.64, 2.81, 1.70, -53423.19,    42693.5373, 41802090.1067,  6431671.6647
310872,13,  1, 21036045.5150,35.00,76.96, 70.70, 2.46, 1.52,  -7895.69,-13522488.4429, 19648228.8788, 11238267.9624
310872,13,  7, 21267135.2240,35.00,64.92,224.26, 2.65, 1.62,  73034.40, -4885087.1085, 25623879.2947,  3696730.3547
310872,13,  8, 24189783.6860,19.00,25.67, 43.67, 5.51, 2.89, -26851.68,-17078193.5201,  2702732.9438, 20256579.4537
310872,13, 11, 21426315.1680,30.00,66.09, 19.25, 2.62, 1.60,-220437.19,-10718547.0690, 17239091.6357, 16637339.3568
310872,13, 17, 24678295.4290,21.00,21.25,269.66, 6.57, 3.18, -38026.74, 14473501.2187, 21750629.2003,  5552113.1653
310872,13, 22, 24061474.5900,19.00,26.49,120.10, 5.35, 2.84, -82649.78,-24225506.4847, 10331832.0323, -3263439.7727
310872,13, 30, 21729102.9350,23.00,58.43,284.32, 2.81, 1.71,  32302.34,   913023.5001, 23774316.3071, 11652535.7137
310872,13, 88, 38250535.0490,28.00,47.04,236.43, 3.27, 1.96, -57973.63,  4358298.2867, 41950847.7472,  -224572.1051
310872,13, 89, 37270616.7110,29.00,65.09,190.11, 2.64, 1.61, -54032.09,-14796859.6318, 39486124.1995,   988949.1051
310872,13, 93, 36819339.5440,28.00,74.44,103.44, 2.49, 1.54, -88310.41,-24373765.0048, 31446983.6896, 13446337.4970
310872,13, 94, 36935447.8130,24.00,77.05,299.85, 2.46, 1.52,  44299.28, -8726076.7988, 36525747.0150, 19478975.7923
310872,13, 96, 36854414.1850,22.00,73.52,343.37, 2.50, 1.54,   5079.88,-11305255.7346, 32284695.6872, 24537649.8004
310872,13, 99, 37685699.5430,32.00,58.54,243.64, 2.81, 1.70, -53423.20,    43999.4953, 41801704.4523,  6434164.5752
310873,12,  1, 21036197.1750,37.00,76.96, 70.66, 2.46, 1.52,  -7895.69,-13522326.3691, 19646761.2170, 11241023.4835
310873,12,  7, 21267398.8090,38.00,64.91,224.25, 2.64, 1.62,  73034.40, -4885519.5405, 25624221.0792,  3693574.7355
310873,12, 11, 21426614.5090,31.00,66.08, 19.26, 2.62, 1.60,-220437.19,-10719146.0149, 17236920.6344, 16639129.3725
310873,12, 17, 24678121.7470,20.00,21.25,269.67, 6.55, 3.18, -38026.74, 14472923.3857, 21750271.8736,  5555223.0008
310873,12, 22, 24061256.2710,21.00,26.49,120.09, 5.34, 2.84, -82649.78,-24226049.4053, 10331595.4446, -3260383.6186
310873,12, 30, 21729044.9650,23.00,58.44,284.31, 2.81, 1.71,  32302.33,   912276.9018, 23775635.2962, 11649887.5289
310873,12, 88, 38250603.2090,35.00,47.05,236.43, 3.27, 1.96, -57973.64,  4358301.3586, 41950848.4651,  -224488.0681
310873,12, 89, 37270687.9420,31.00,65.09,190.11, 2.64, 1.61, -54032.06,-14796858.6672, 39486125.8845,   988990.9766
310873,12, 93, 36819398.6480,33.00,74.44,103.46, 2.48, 1.54, -88310.41,-24373485.5701, 31448147.9906, 13444079.5396
310873,12, 94, 36935583.1750,23.00,77.05,299.86, 2.45, 1.52,  44299.29, -8724924.2333, 36524856.0836, 19481161.4722
310873,12, 96, 36854389.0390,25.00,73.52,343.36, 2.49, 1.54,   5079.87,-11305450.9815, 32285890.4261, 24535962.8507
310873,12, 99, 37685751.1960,37.00,58.54,243.65, 2.80, 1.70, -53423.21,    45305.3971, 41801318.6095,  6436657.4518
310874,13,  1, 21036348.7480,37.00,76.96, 70.63, 2.46, 1.52,  -7895.70,-13522164.2872, 19645293.2089, 11243778.7601
310874,13,  7, 21267662.6740,40.00,64.90,224.23, 2.65, 1.62,  73034.40, -4885951.8426, 25624562.5046,  3690419.0351
310874,13,  8, 24190698.1990,31.00,25.66, 43.68, 5.51, 2.89, -26851.68,-17081694.7834,  2699011.7629, 20254142.3356
310874,13, 11, 21426918.6490,31.00,66.08, 19.26, 2.62, 1.60,-220437.19,-10719745.0980, 17234749.4321, 16640919.0214
310874,13, 17, 24677952.3930,22.00,21.25,269.68, 6.56, 3.18, -38026.74, 14472345.2747, 21749914.2917,  5558332.7200
310874,13, 22, 24061038.4570,22.00,26.49,120.08, 5.35, 2.84, -82649.79,-24226591.9726, 10331358.7706, -3257327.3950
310874,13, 30, 21728985.5300,23.00,58.44,284.29, 2.81, 1.71,  32302.33,   911530.4818, 23776954.0105, 11647239.0949
310874,13, 88, 38250670.6890,35.00,47.05,236.43, 3.27, 1.96, -57973.65,  4358304.4306, 41950849.1828,  -224404.0299
310874,13, 89, 37270759.3490,33.00,65.09,190.11, 2.64, 1.61, -54032.04,-14796857.7025, 39486127.5696,   989032.8428
310874,13, 93, 36819453.3370,33.00,74.44,103.47, 2.49, 1.54, -88310.42,-24373205.9641, 31449312.2489, 13441821.5098
310874,13, 94, 36935717.9950,21.00,77.05,299.88, 2.46, 1.52,  44299.29, -8723771.7982, 36523964.9861, 19483347.0496
310874,13, 96, 36854365.1320,27.00,73.53,343.36, 2.50, 1.54,   5079.86,-11305646.0533, 32287085.1925, 24534275.7702
310874,13, 99, 37685801.6970,37.00,58.54,243.66, 2.81, 1.70, -53423.21,    46611.2422, 41800932.5782,  6439150.2950
310875,14,  1, 21036501.0360,38.00,76.95, 70.59, 2.46, 1.52,  -7895.70,-13522002.1974, 19643824.8544, 11246533.7922
310875,14,  7, 21267926.6090,40.00,64.90,224.22, 2.64, 1.62,  73034.40, -4886384.0140, 25624903.5706,  3687263.2549
310875,14,  8, 24191156.5120,30.00,25.66, 43.69, 5.50, 2.89, -26851.68,-17083445.4179,  2697151.4912, 20252923.1354
310875,14, 11, 21427225.2320,32.00,66.07, 19.26, 2.62, 1.60,-220437.19,-10720344.3181, 17232578.0297, 16642708.3029
310875,14, 17, 24677783.4050,23.00,21.26,269.68, 6.56, 3.18, -38026.74, 14471766.8853, 21749556.4551,  5561442.3237
310875,14, 22, 24060821.5330,23.00,26.50,120.07, 5.34, 2.84, -82649.79,-24227134.1865, 10331122.0103, -3254271.1018
310875,14, 28, 23890784.0990,13.00,31.78,327.91, 4.53, 2.56, 205261.27,  5101378.0211, 14193048.8626, 22492442.6130
310875,14, 30, 21728926.3910,23.00,58.44,284.28, 2.81, 1.71,  32302.33,   910784.2388, 23778272.4506, 11644590.4106
310875,14, 88, 38250738.0300,34.00,47.05,236.43, 3.27, 1.96, -57973.66,  4358307.5026, 41950849.9002,  -224319.9905
310875,14, 89, 37270830.7370,32.00,65.09,190.11, 2.64, 1.61, -54032.02,-14796856.7376, 39486129.2548,   989074.7037
310875,14, 93, 36819504.5360,33.00,74.44,103.49, 2.49, 1.54, -88310.42,-24372926.1872, 31450476.4643, 13439563.4071
310875,14, 94, 36935854.5250,20.00,77.04,299.89, 2.46, 1.52,  44299.30, -8722619.4936, 36523073.7225, 19485532.5244
310875,14, 96, 36854341.3480,27.00,73.53,343.35, 2.50, 1.54,   5079.85,-11305840.9505, 32288279.9866, 24532588.5587
310875,14, 99, 37685849.8590,37.00,58.54,243.67, 2.81, 1.70, -53423.22,    47917.0314, 41800546.3585,  6441643.1038
310876,15,  1, 21036653.1320,40.00,76.95, 70.56, 2.46, 1.52,  -7895.70,-13521840.0995, 19642356.1535, 11249288.5796
310876,15,  7, 21268190.5610,41.00,64.89,224.20, 2.64, 1.62,  73034.39, -4886816.0551, 25625244.2773,  3684107.3944
310876,15,  8, 24191614.5280,31.00,25.66, 43.69, 5.50, 2.89, -26851.68,-17085196.0542,  2695291.4322, 20251703.5077
310876,15, 11, 21427528.6040,33.00,66.06, 19.27, 2.62, 1.60,-220437.19,-10720943.6761, 17230406.4258, 16644497.2180
310876,15, 16, 26983154.1290,12.00,-0.33,114.79,-12693.85, 5.03,   9934.33,-25659980.6643,  -657874.0037, -7768242.7237
310876,15, 17, 24677613.0380,25.00,21.26,269.69, 6.55, 3.17, -38026.74, 14471188.2183, 21749198.3632,  5564551.8102
310876,15, 22, 24060607.1230,25.00,26.50,120.07, 5.34, 2.84, -82649.79,-24227676.0471, 10330885.1636, -3251214.7393
310876,15, 28, 23890457.4830,17.00,31.78,327.92, 4.53, 2.56, 205261.27,  5098723.4574, 14193523.9102, 22492757.4792
310876,15, 30, 21728869.3290,23.00,58.44,284.26, 2.81, 1.71,  32302.33,   910038.1734, 23779590.6163, 11641941.4765
310876,15, 88, 38250805.1780,35.00,47.05,236.43, 3.27, 1.96, -57973.67,  4358310.5748, 41950850.6174,  -224235.9499
310876,15, 89, 37270902.1090,33.00,65.09,190.11, 2.64, 1.61, -54032.00,-14796855.7725, 39486130.9401,   989116.5594
310876,15, 93, 36819556.8510,33.00,74.44,103.50, 2.48, 1.54, -88310.43,-24372646.2385, 31451640.6369, 13437305.2327
310876,15, 94, 36935990.4980,20.00,77.04,299.90, 2.45, 1.52,  44299.31, -8721467.3195, 36522182.2927, 19487717.8966
310876,15, 96, 36854318.9070,28.00,73.53,343.35, 2.49, 1.54,   5079.84,-11306035.6739, 32289474.8084, 24530901.2157
310876,15, 99, 37685901.3720,37.00,58.55,243.68, 2.80, 1.70, -53423.23,    49222.7642, 41800159.9505,  6444135.8785
310877,15,  1, 21036805.3330,40.00,76.94, 70.52, 2.45, 1.52,  -7895.70,-13521677.9938, 19640887.1063, 11252043.1224
310877,15,  7, 21268454.8440,41.00,64.89,224.19, 2.64, 1.62,  73034.39, -4887247.9665, 25625584.6247,  3680951.4528
310877,15,  8, 24192069.0190,30.00,25.65, 43.70, 5.50, 2.89, -26851.68,-17086946.6917,  2693431.5868, 20250483.4531
310877,15, 11, 21427830.7190,34.00,66.05, 19.27, 2.62, 1.60,-220437.19,-10721543.1714, 17228234.6210, 16646285.7660
310877,15, 16, 26983646.2070,13.00,-0.34,114.80,-12252.19, 5.03,   9934.33,-25659066.6644,  -658183.8059, -7771248.8856
